OBJECTID,Owner,Path,Source,Type,HIFLD_ID,Name,Max_Voltage,ZIP_CODE,STATE,COUNTY,CITY,Lon,Lat
1,Other,,CEC,SUBSTATION,310025,Jenney,115,94501,CA,Alameda County,Alameda,-122.2429162,37.77243572
2,PG&E,,CEC,SUBSTATION,306474,Corona,115,94954,CA,Sonoma County,Petaluma,-122.6573685,38.2650127
3,PG&E,,CEC,SUBSTATION,310124,South Bay 1,,94514,CA,Alameda County,Unincorporated,-121.6259513,37.77848161
4,PG&E,,CEC,SUBSTATION,306256,Altamont,60,94551,CA,Alameda County,Unincorporated,-121.6772083,37.7483765
5,PG&E,,CEC,SUBSTATION,303892,Castro Valley,230,94546,CA,Alameda County,Unincorporated,-122.0612774,37.69128098
6,PG&E,,CEC,SUBSTATION,303608,Claremont,115,94618,CA,Alameda County,Oakland,-122.2285851,37.84737346
7,Other,,CEC,SUBSTATION,303469,Cryogenics,115,94587,CA,Alameda County,Union City,-122.0174353,37.59578193
8,PG&E,,CEC,SUBSTATION,307419,Kekawaka,60,95595,CA,Trinity County,Unincorporated,-123.5091868,40.09403073
9,PG&E,,CEC,SUBSTATION,307780,Dumbarton,115,94555,CA,Alameda County,Fremont,-122.05794,37.55699202
10,PG&E,East Bay,CEC,SUBSTATION,301389,Eastshore,230,94545,CA,Alameda County,Hayward,-122.1166112,37.62507859
11,PG&E,,CEC,SUBSTATION,303133,Edes,115,94603,CA,Alameda County,Oakland,-122.1937991,37.73868954
12,PG&E,,CEC,SUBSTATION,302108,Fremont,115,94538,CA,Alameda County,Fremont,-121.9619574,37.54136311
13,Other,,CEC,SUBSTATION,305808,Nummi,115,94538,CA,Alameda County,Fremont,-121.9394285,37.49369132
14,PG&E,,CEC,SUBSTATION,303596,Grant,115,94579,CA,Alameda County,San Leandro,-122.1595387,37.67126804
15,Other,,CEC,SUBSTATION,305871,Grizzly,115,94720,CA,Alameda County,Oakland,-122.245764,37.876174
16,PG&E,,CEC,SUBSTATION,308301,Luka,60,94566,CA,Alameda County,Unincorporated,-121.8318768,37.66794608
17,PG&E,,CEC,,306175,Air Liquide,115,94587,CA,Alameda County,Union City,-122.0174914,37.59531056
18,Other,,CEC,SUBSTATION,303791,Kaiser,,94568,CA,Alameda County,Dublin,-121.9070045,37.70853376
19,PG&E,,CEC,SUBSTATION,301848,Las Positas,230,94551,CA,Alameda County,Livermore,-121.7332445,37.70082423
20,PG&E,,CEC,SUBSTATION,307237,Livermore,60,94551,CA,Alameda County,Livermore,-121.7805048,37.68002781
21,PG&E,East Bay,CEC,SUBSTATION,305785,Mt. Eden,,94545,CA,Alameda County,Hayward,-122.1018481,37.63206011
